week,continent,country,region_weekly_visits,unique_ips_weekly,language_weekly_visits,weekly_most_common_points,top_10_books_weekly,visit_type1_counts,visit_type2_counts,visit_type3_counts,visit_type4_counts
2022-04-11/2022-04-17,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-04-18/2022-04-24,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-04-25/2022-05-01,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-05-02/2022-05-08,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-05-09/2022-05-15,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-05-16/2022-05-22,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-05-23/2022-05-29,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-05-30/2022-06-05,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-06-06/2022-06-12,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-06-13/2022-06-19,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-06-20/2022-06-26,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-06-27/2022-07-03,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-07-04/2022-07-10,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-07-11/2022-07-17,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-07-18/2022-07-24,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-07-25/2022-07-31,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-08-01/2022-08-07,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-08-08/2022-08-14,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-08-15/2022-08-21,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-08-22/2022-08-28,Africa,Cabo Verde,1,1,en: 1,16.8901_-24.9804: 1,570520: 1,0,0,0,1
2022-08-29/2022-09-04,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-09-05/2022-09-11,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-09-12/2022-09-18,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-09-19/2022-09-25,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-09-26/2022-10-02,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-02-28/2022-03-06,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-03-07/2022-03-13,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-03-14/2022-03-20,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-03-21/2022-03-27,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-03-28/2022-04-03,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-04-04/2022-04-10,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-04-11/2022-04-17,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
